t,Course,Hole,Par,Player,Hits,Diff,Team
28,White,10,2,Joshua,2,0,2
29,White,11,3,Joshua,2,-1,2
30,White,12,2,Joshua,2,0,2
31,White,13,2,Joshua,3,1,2
32,White,14,2,Joshua,2,0,2
33,White,15,2,Joshua,2,0,2
34,White,16,2,Joshua,3,1,2
35,White,17,2,Joshua,1,-1,2
36,White,18,3,Joshua,3,0,2
1,Maroon,1,3,Pryank,6,3,2
2,Maroon,2,2,Pryank,2,0,2
3,Maroon,3,2,Pryank,4,2,2
4,Maroon,4,2,Pryank,2,0,2
5,Maroon,5,2,Pryank,3,1,2
6,Maroon,6,2,Pryank,4,2,2
7,Maroon,7,3,Pryank,5,2,2
8,Maroon,8,3,Pryank,5,2,2
9,Maroon,9,2,Pryank,4,2,2
10,Maroon,10,2,Pryank,2,0,2
11,Maroon,11,2,Pryank,4,2,2
12,Maroon,12,2,Pryank,3,1,2
13,Maroon,13,2,Pryank,2,0,2
14,Maroon,14,2,Pryank,3,1,2
15,Maroon,15,3,Pryank,4,1,2
16,Maroon,16,2,Pryank,4,2,2
17,Maroon,17,2,Pryank,4,2,2
18,Maroon,18,3,Pryank,3,0,2
19,White,1,3,Pryank,5,2,2
20,White,2,3,Pryank,5,2,2
21,White,3,2,Pryank,3,1,2
22,White,4,2,Pryank,3,1,2
23,White,5,2,Pryank,2,0,2
24,White,6,3,Pryank,3,0,2
25,White,7,2,Pryank,4,2,2
26,White,8,2,Pryank,3,1,2
27,White,9,2,Pryank,4,2,2
28,White,10,2,Pryank,5,3,2
29,White,11,3,Pryank,3,0,2
30,White,12,2,Pryank,2,0,2
31,White,13,2,Pryank,3,1,2
32,White,14,2,Pryank,3,1,2
33,White,15,2,Pryank,5,3,2
34,White,16,2,Pryank,3,1,2
35,White,17,2,Pryank,2,0,2
36,White,18,3,Pryank,2,-1,2
1,Maroon,1,3,Roshan,4,1,2
2,Maroon,2,2,Roshan,2,0,2
3,Maroon,3,2,Roshan,4,2,2
4,Maroon,4,2,Roshan,6,4,2
5,Maroon,5,2,Roshan,4,2,2
6,Maroon,6,2,Roshan,4,2,2
7,Maroon,7,3,Roshan,5,2,2
8,Maroon,8,3,Roshan,3,0,2
9,Maroon,9,2,Roshan,5,3,2
10,Maroon,10,2,Roshan,3,1,2
11,Maroon,11,2,Roshan,2,0,2
12,Maroon,12,2,Roshan,2,0,2
13,Maroon,13,2,Roshan,4,2,2
14,Maroon,14,2,Roshan,2,0,2
15,Maroon,15,3,Roshan,4,1,2
16,Maroon,16,2,Roshan,5,3,2
17,Maroon,17,2,Roshan,3,1,2
18,Maroon,18,3,Roshan,2,-1,2
19,White,1,3,Roshan,6,3,2
20,White,2,3,Roshan,3,0,2
21,White,3,2,Roshan,2,0,2
22,White,4,2,Roshan,3,1,2
23,White,5,2,Roshan,4,2,2
